MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIONS,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z,scaled_fuel_consumption,scaled_engine_size
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,3.4,6,16.0,336,False,False,False,False,True,False,False,False,True,False,0.5186915887850467,0.7741935483870969
CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,17.7,368,True,False,False,False,False,False,False,False,True,False,0.5981308411214953,1.0645161290322582
AUDI,A6 QUATTRO,MID-SIZE,4.2,8,15.5,308,False,True,False,False,False,False,False,False,False,True,0.4953271028037383,1.0322580645161292
FERRARI,360 MODENA F1,TWO-SEATER,3.6,8,24.1,472,False,False,False,False,False,True,False,False,False,True,0.8971962616822432,0.838709677419355
HONDA,CR-V,SUV,2.0,4,12.5,267,False,False,False,False,True,False,False,False,True,False,0.35514018691588783,0.32258064516129037
SATURN,SC #,SUBCOMPACT,1.9,4,10.6,207,True,False,False,False,False,False,False,False,True,False,0.26635514018691586,0.2903225806451613
HONDA,CIVIC COUPE Si,SUBCOMPACT,1.6,4,10.5,216,True,False,False,False,False,False,False,False,True,False,0.2616822429906542,0.19354838709677424
HYUNDAI,SONATA 2.5L,MID-SIZE,2.5,6,13.2,262,True,False,False,False,False,False,False,False,True,False,0.3878504672897196,0.48387096774193555
MERCEDES-BENZ,E 320 4MATIC WAGON,STATION WAGON - MID-SIZE,3.2,6,13.5,274,False,True,False,False,False,False,False,False,False,True,0.40186915887850466,0.7096774193548389
CHRYSLER,CONCORDE,FULL-SIZE,2.7,6,13.2,260,True,False,False,False,False,False,False,False,True,False,0.3878504672897196,0.5483870967741936
FORD,RANGER,PICKUP TRUCK - STANDARD,4.0,6,14.9,306,False,False,False,False,True,False,False,False,True,False,0.4672897196261683,0.9677419354838711
FORD,COUGAR,COMPACT,2.5,6,13.3,260,False,False,False,False,True,False,False,False,True,False,0.39252336448598135,0.48387096774193555
TOYOTA,4RUNNER 4X4,SUV,3.4,6,15.7,331,False,False,False,False,True,False,False,False,True,False,0.5046728971962616,0.7741935483870969
FORD,GRAND MARQUIS,FULL-SIZE,4.6,8,15.0,297,True,False,False,False,False,False,False,False,True,False,0.4719626168224299,1.1612903225806452
